FID,IID,SOL,C1,C2
HG00403,HG00403,0,0.010722,0.0059891
HG00404,HG00404,1,0.0130424,0.00401195
HG00406,HG00406,2,0.0105415,0.005994
HG00407,HG00407,3,0.00900834,0.00222771
HG00409,HG00409,4,0.0111211,-0.00448043
HG00410,HG00410,5,0.0120603,-0.00901833
HG00419,HG00419,6,0.0109758,0.00951916
HG00421,HG00421,7,0.0107488,0.00221347
HG00422,HG00422,8,0.0107441,0.00896458
HG00428,HG00428,9,0.0139233,0.00477924
HG00436,HG00436,10,0.00999011,0.00652542
HG00437,HG00437,11,0.0120994,0.00288889
HG00442,HG00442,12,0.00891218,0.0095204
HG00443,HG00443,13,0.0100223,0.00828184
HG00445,HG00445,14,0.0114942,-0.000192403
HG00446,HG00446,15,0.0122629,0.00738102
HG00448,HG00448,16,0.0112997,0.0110678
HG00449,HG00449,17,0.0116346,0.00682579
HG00451,HG00451,18,0.0146872,0.00556592
HG00452,HG00452,19,0.011343,0.00752052
HG00457,HG00457,20,0.0103414,0.00809134
HG00458,HG00458,21,0.013627,0.00640342
HG00463,HG00463,22,0.0103924,0.00694578
HG00464,HG00464,23,0.0123099,0.00881879
HG00472,HG00472,24,0.0115305,0.00319109
HG00473,HG00473,25,0.0107922,0.00930188
HG00475,HG00475,26,0.0159158,0.0139874
HG00476,HG00476,27,0.0126445,0.0096233
HG00478,HG00478,28,0.0116029,0.00499097
HG00479,HG00479,29,0.011334,0.00898753
HG00500,HG00500,30,0.0172141,0.00951162
HG00513,HG00513,31,0.0109403,0.00632681
HG00524,HG00524,32,0.0118308,0.013339
HG00525,HG00525,33,0.0144861,0.00371063
HG00530,HG00530,34,0.0130999,0.00687055
HG00531,HG00531,35,0.00960796,0.00689484
HG00533,HG00533,36,0.0119379,0.00490812
HG00534,HG00534,37,0.0115373,0.0104043
HG00536,HG00536,38,0.0105373,0.00394071
HG00537,HG00537,39,0.0128768,0.00603717
HG00542,HG00542,40,0.0150177,0.0139233
HG00543,HG00543,41,0.00767784,0.00303344
HG00556,HG00556,42,0.0130283,0.000482172
HG00557,HG00557,43,0.0156184,0.00319683
HG00559,HG00559,44,0.0164786,-0.00502156
HG00560,HG00560,45,0.0133347,-0.000962236
HG00565,HG00565,46,0.0150296,-0.000533503
HG00566,HG00566,47,0.0153752,-0.00585756
HG00580,HG00580,48,0.0155414,-0.000749523
HG00581,HG00581,49,0.0158314,0.0135438
HG00583,HG00583,50,0.00491518,0.00222285
HG00584,HG00584,51,0.0162079,0.00514001
HG00589,HG00589,52,0.0122288,0.00578597
HG00590,HG00590,53,0.0088372,0.00419967
HG00592,HG00592,54,0.030825,-0.00767765
HG00593,HG00593,55,0.014253,-0.00609295
HG00595,HG00595,56,0.0137315,-0.00647736
HG00596,HG00596,57,0.0142248,-0.00208279
HG00598,HG00598,58,0.0122292,-0.0115941
HG00599,HG00599,59,0.0195111,-0.00927055
HG00607,HG00607,60,0.0154067,0.0106418
HG00608,HG00608,61,0.0119717,0.00754322
HG00610,HG00610,62,0.0161342,-0.000205484
HG00611,HG00611,63,0.0136603,0.00506305
HG00613,HG00613,64,0.0139742,0.00900178
